Tick,AverageTemperature,WhiteDaisyCount,BlackDaisyCount,TotalDaisyCount,SolarLuminosity
347,11.22,833,4,837,1.5300
348,11.47,827,3,830,1.5350
349,11.92,832,3,835,1.5400
350,12.08,835,2,837,1.5450
351,12.16,834,2,836,1.5500
352,12.35,833,2,835,1.5550
353,12.59,833,2,835,1.5600
354,12.83,832,2,834,1.5650
355,13.11,836,2,838,1.5700
356,13.21,836,2,838,1.5750
357,13.37,837,1,838,1.5800
358,13.52,834,1,835,1.5850
359,13.82,838,1,839,1.5900
360,13.93,837,1,838,1.5950
361,14.14,837,1,838,1.6000
362,14.35,832,0,832,1.6050
363,14.75,836,0,836,1.6100
364,14.91,839,0,839,1.6150
365,14.99,839,0,839,1.6200
366,15.14,834,0,834,1.6250
367,15.52,841,0,841,1.6300
368,15.55,839,0,839,1.6350
369,15.75,841,0,841,1.6400
370,15.89,841,0,841,1.6450
371,16.07,840,0,840,1.6500
372,16.30,840,0,840,1.6550
373,16.53,838,0,838,1.6600
374,16.82,837,0,837,1.6650
375,17.12,839,0,839,1.6700
376,17.30,839,0,839,1.6750
377,17.49,838,0,838,1.6800
378,17.74,841,0,841,1.6850
379,17.85,837,0,837,1.6900
380,18.17,841,0,841,1.6950
381,18.28,841,0,841,1.7000
382,18.44,840,0,840,1.7050
383,18.67,838,0,838,1.7100
384,18.96,841,0,841,1.7150
385,19.10,837,0,837,1.7200
386,19.42,838,0,838,1.7250
387,19.65,840,0,840,1.7300
388,19.79,839,0,839,1.7350
389,20.00,838,0,838,1.7400
390,20.25,840,0,840,1.7450
391,20.40,839,0,839,1.7500
392,20.62,841,0,841,1.7550
393,20.75,840,0,840,1.7600
394,20.96,841,0,841,1.7650
395,21.13,841,0,841,1.7700
396,21.31,841,0,841,1.7750
397,21.51,840,0,840,1.7800
398,21.74,839,0,839,1.7850
399,22.00,839,0,839,1.7900
400,22.23,840,0,840,1.7950
401,22.41,841,0,841,1.8000
402,22.46,840,0,840,1.8000
403,22.52,840,0,840,1.8000
404,22.55,837,0,837,1.8000
405,22.68,839,0,839,1.8000
406,22.67,840,0,840,1.8000
407,22.63,840,0,840,1.8000
408,22.60,838,0,838,1.8000
409,22.67,841,0,841,1.8000
410,22.59,839,0,839,1.8000
411,22.62,839,0,839,1.8000
